date,CHTR,isPartial
2011-06-30,24,False
2011-07-01,0,False
2011-07-02,31,False
2011-07-03,31,False
2011-07-04,25,False
2011-07-05,0,False
2011-07-06,0,False
2011-07-07,24,False
2011-07-08,26,False
2011-07-09,32,False
2011-07-10,0,False
2011-07-11,24,False
2011-07-12,48,False
2011-07-13,0,False
2011-07-14,0,False
2011-07-15,26,False
2011-07-16,47,False
2011-07-17,0,False
2011-07-18,24,False
2011-07-19,0,False
2011-07-20,24,False
2011-07-21,98,False
2011-07-22,0,False
2011-07-23,0,False
2011-07-24,0,False
2011-07-25,24,False
2011-07-26,24,False
2011-07-27,24,False
2011-07-28,37,False
2011-07-29,26,False
2011-07-30,0,False
2011-07-31,31,False
2011-08-01,24,False
2011-08-02,24,False
2011-08-03,24,False
2011-08-04,36,False
2011-08-05,0,False
2011-08-06,0,False
2011-08-07,30,False
2011-08-08,23,False
2011-08-09,23,False
2011-08-10,47,False
2011-08-11,72,False
2011-08-12,51,False
2011-08-13,30,False
2011-08-14,30,False
2011-08-15,25,False
2011-08-16,48,False
2011-08-17,0,False
2011-08-18,24,False
2011-08-19,24,False
2011-08-20,30,False
2011-08-21,29,False
2011-08-22,35,False
2011-08-23,23,False
2011-08-24,46,False
2011-08-25,23,False
2011-08-26,0,False
2011-08-27,0,False
2011-08-28,0,False
2011-08-29,23,False
2011-08-30,46,False
2011-08-31,23,False
2011-09-01,35,False
2011-09-02,24,False
2011-09-03,42,False
2011-09-04,28,False
2011-09-05,23,False
2011-09-06,22,False
2011-09-07,22,False
2011-09-08,0,False
2011-09-09,23,False
2011-09-10,42,False
2011-09-11,27,False
2011-09-12,22,False
2011-09-13,22,False
2011-09-14,22,False
2011-09-15,33,False
2011-09-16,23,False
2011-09-17,0,False
2011-09-18,27,False
