stock,OPEN,average,Weighted Ave,Ind average,Self,Ind Self,ranked average,ranked Ind average,ranked 2 weeks,1 week,2 weeks,4 weeks,8 weeks,price
CSCO,1.27613363707354,1.0202932083289245,1.0007351441687136,1.033906150845266,62,16,43.229885057471265,13.173913043478262,40,1.02091630125643,1.02556434130132,1.06241696361564,1.13877814975054,30.120001
CSX,1.33110331593644,1.016065438118453,0.9965917795621463,1.0128943062072486,29,4,47.93103448275862,5.7,1,1.2939244028747,1.29967161086625,1.32594416189184,1.31663929061714,108.2699679
CTRP,1.67781098912703,1.0208868375887261,1.0014533796189813,1.0374790654726325,6,1,42.58620689655172,1.75,67,0.995484285232305,0.985098216627136,1.02235262977672,1.09121699992549,88.03810622
CTSH,1.21832355871495,1.0207127662665219,1.0013015075433993,1.0293444173411817,54,10,46.2183908045977,13.130434782608695,85,1.00176583074982,0.938371853182017,1.0241921055207,1.04679494887025,113.5353172
CTXS,1.28203712613597,1.0212116062892105,1.0014335417829896,1.036440842573522,59,15,43.7816091954023,12.08695652173913,57,1.03961367043446,1.00142647857065,0.870843812301839,0.875562346598558,91.130005
DISCA,0.899222363576435,1.0246118840059806,1.0047396373133828,1.019299638097436,14,2,38.10344827586207,6.076923076923077,38,1.0211091228809,1.026118031,1.0447227171784,1.00250443690864,53.65107577
DISCK,0.94851758301852,1.023253156639282,1.0035121265061369,1.0293749852158889,14,3,40.11494252873563,4.615384615384615,37,1.0249908134606,1.03013605412537,1.03822128050565,1.0069827643268,53.67977297
DISH,1.30455051570911,1.0186880953174338,0.998659016158793,1.0164166691201717,82,11,46.49425287356322,7.076923076923077,77,1.0098578055481,0.96315444451595,1.0227860374582,1.01777632533832,61.880001
DLTR,1.34839396572103,1.0236137192103776,1.0042695358445382,1.0314794994054917,81,10,42.333333333333336,4.7,68,0.980129856057125,0.983568959530738,1.00038210373093,0.970449624227223,156.7375474
EA,2.00714644925807,1.017815302463753,0.9977377147887581,1.0431903018839335,29,10,47.310344827586206,12.08695652173913,28,1.00360204888988,1.04446645074757,1.08669725281893,1.11638299332364,80.510002
EBAY,1.41654286455204,1.0260964907977808,1.006204115868268,1.020423397022132,64,8,33.54022988505747,4.8,20,1.00132053478324,1.05645424081612,1.12545390792783,1.10465493202404,74.6717806
ESRX,1.09581453511054,1.0215866828402402,1.0020214576558146,1.0094256439214275,56,11,41.86206896551724,6.083333333333333,84,0.974778486372036,0.939195648880365,0.946557626655449,0.924880679653491,73.349998
EXPE,1.6094942079874,1.0169744761438297,0.9973995639889934,1.0340485550807,43,3,44.32183908045977,2,44,1.01353510771409,1.02269865575865,1.03455234219132,1.05817575623387,118.949997
FAST,1.10459063895075,1.016387609953116,0.9966670380904078,1.0092920176984705,51,14,49.03448275862069,11.35,27,1.06998544256032,1.04582380966046,1.05873784919592,1.06248698371409,96.71174179
FISV,1.78703298190611,1.0107387729995747,0.991210158320057,1.0223431877004048,59,18,53.05747126436781,15.347826086956522,71,0.983576971984424,0.976809239878089,0.995307733505871,1.06749686862695,221.0550892
FOX,1.07642215512977,1.019408110930373,0.9995975642528402,1.0058708459922412,67,7,45.747126436781606,8.23076923076923,16,1.01671210770888,1.06002728538711,1.01841749671555,1.03683492475682,29.32
FOXA,1.10061819041195,1.0214370200615646,1.0017509699787936,1.0071804618125546,12,2,39.94252873563219,7.538461538461538,25,1.00966341187938,1.0476508159311,1.00366547796668,1.03032322609297,30.01
GILD,1.12152442179863,1.0270305616757354,1.0073263578016671,1.0183635183534416,47,3,36.37931034482759,4.75,53,0.982558208241988,1.00470658924343,0.938399818119774,0.949750870531436,143.10949
GOOG,1.59084730215605,1.0207605771469528,1.0011737715233269,1.0371667395754953,35,10,42.37931034482759,11.478260869565217,62,1.0249314680953,0.994341100351563,1.01879969961285,1.04852257350079,1605.898172
GOOGL,1.60914390703978,1.0209722322065935,1.0013667613487451,1.0373422829941636,25,9,42.51724137931034,11,63,1.026175020591,0.99188963412838,1.01438901229896,1.04149191689459,1642.696818
HSIC,1.40242927327761,1.0128799869618177,0.993334332205204,1.0058265416701515,39,8,52.48275862068966,12.8,55,0.986508572135879,1.00363956426997,1.04260788739797,1.08389806060869,159.360001
ILMN,1.42796931376075,1.018946007955161,0.9994606143342593,1.0010215336662853,87,12,44.264367816091955,8,61,0.999628218957478,0.995166693910669,1.02026266496965,1.03817070136631,250.3459052
INCY,2.11158122297139,1.023047283932852,1.0033762713084897,1.0125540988571469,12,1,41.298850574712645,5.583333333333333,17,1.03545540074466,1.05938342390161,1.06776696240037,1.31359702481012,114.510002
INTC,1.31885339503484,1.019471685999019,1.0001325671597616,1.02973096683131,50,15,45.6551724137931,13.347826086956522,49,1.02304155688592,1.01301165712664,0.971808050339606,0.984006505549014,36.889999
INTU,1.49168343899471,1.017779999398116,0.9980199450096989,1.0364686144277757,35,9,48.44827586206897,12.130434782608695,48,1.01929674130148,1.01698116675129,1.01783878263696,1.07795886926173,116.599998
ISRG,1.34007346302696,1.017224497525381,0.9976003145225587,1.0109934536457934,78,17,46.85057471264368,10,23,1.0090240150623,1.05084439527258,1.07155877890491,1.11481044385397,663.789978
LBTYA,0.969595843201271,1.020801073284931,1.0014245163340274,1.0271795952837741,14,3,40.229885057471265,5.461538461538462,19,1.01207596301553,1.05750431500055,1.02530192671096,1.0437032792751,66.89733593
LRCX,1.77281842736814,1.024738656359916,1.0049066471010812,1.0172362030312994,70,13,41.41379310344828,9.8,18,1.04447070794675,1.05820300203195,1.07011639778786,1.09930882238944,109.959999
MAR,1.50093887947438,1.0147334624718027,0.9949477485597669,1.024204666322039,53,4,49.06896551724138,3.25,35,1.03106415357047,1.03434041818515,1.06079351711479,1.05593972564592,82.410004
MAT,0.957046049188053,1.0239764861924938,1.0041140109674453,1.0163035462830892,36,8,36.93103448275862,8.2,86,1.00741935499806,0.849354838738434,0.840322548235484,0.824838710030323,31.0
MCHP,1.49757305243786,1.0180646399157425,0.998347698300187,1.0127007357584321,74,18,46.98850574712644,11,21,1.04217144643005,1.05597304189089,1.0969176518567,1.14077595727747,65.209999
MDLZ,1.33899041633512,1.0163917213276272,0.9968852972434324,1.0005837753720852,66,3,46.95402298850575,3.4,64,1.00355555524258,0.989999977565504,1.0037777329959,0.978222221870239,67.32582688
MNST,1.49110381071093,1.0329915000931664,1.0132001937151982,0.991412554639254,38,2,28.620689655172413,3.8,75,0.995905368369142,0.973839898987386,1.02320293563651,1.07484078919769,258.2149229
MSFT,1.57531270543659,1.0196974231105116,0.9999537434489366,1.040020169002153,41,13,44.6551724137931,10.91304347826087,30,1.01707362379913,1.03957242824088,1.03494499913495,1.04132765420375,62.669998
MU,1.35354055388478,1.0271128855572444,1.006932333444967,1.011532001580345,9,2,37.160919540229884,11.05,5,1.06503690015913,1.11392988975557,1.11623620899078,1.1877306274701,21.68
MXIM,1.29639746362685,1.02140046149038,1.0017968475925243,1.009414082716281,22,6,41.55172413793103,11.8,7,1.03263008004969,1.10058889109857,1.11457316599142,1.10893040275134,40.759998
MYL,0.966895387043387,1.020905177292975,1.00152409647442,1.0124920496829735,86,12,43.666666666666664,6.666666666666667,42,0.971759036654774,1.0244755249575,1.07288862251741,1.17616998427972,37.18
NFLX,2.37252148128842,1.0374057108207697,1.0177540417401187,1.046799299388177,10,2,27.126436781609197,8.73913043478261,14,1.05795349887911,1.06470981552964,1.09563838589234,1.06448461467965,1485.443441
NTAP,0.966642653779692,1.0265265597754698,1.0071158355819396,1.0294910360408593,57,18,37.06896551724138,11.956521739130435,13,1.05490193091127,1.07619039005016,1.11596635518572,1.18767509234542,35.700001
NTES,2.40283591402428,1.0091781874528365,0.9897718411586766,1.0263089097871199,3,1,52.39080459770115,12.869565217391305,22,1.0664238198081,1.05156640670985,1.08289533019209,1.20688651651196,241.630005
NVDA,3.75456556846586,1.0001666178136053,0.9807468751325024,0.9967563994507793,2,1,51.47126436781609,13.652173913043478,8,1.07322430338137,1.09786517571769,1.13707108210474,0.99850357134932,100.239998
NXPI,1.77150409308013,1.0165463752952488,0.9964082672388509,1.0062362265426492,3,1,45.229885057471265,10.5,58,0.992150106268645,1.00081559822115,1.04485678683135,1.06259564910373,98.089996
