stock,OPEN,average,Weighted Ave,Ind average,Self,Ind Self,ranked average,ranked Ind average,ranked 2 weeks,1 week,2 weeks,4 weeks,8 weeks,price
CHTR,2.33647991703478,0.9951557162788465,0.9913118003846186,0.963994857589012,33,9,52.160919540229884,9.307692307692308,34,0.992515962687087,1.00748403992449,0,0,324.690002
CMCSA,1.5945646968827,1.0045343337569057,1.0010084345073542,0.9823569768356,8,3,44.67816091954023,7.769230769230769,53,0.9883288335374,0.989655172331764,0,0,74.66642519
COST,1.39355219671039,0.9978213059403297,0.9941662307525002,1.0118100488258863,12,3,51.241379310344826,4.7,40,1.00713516046198,1.00419712813275,0,0,166.779999
CSCO,1.45111472837497,1.0030518370178045,0.9995453426218938,1.009526538362051,54,14,44.45977011494253,12.304347826086957,47,0.998540175069388,0.994160554919708,0,0,34.25
CSX,1.7449329430138,1.005682385822246,1.0022912934773445,0.9956728880875115,48,6,39.6551724137931,6.6,55,0.97515651488136,0.987265115399698,0,0,141.9302555
CTRP,1.86343461306147,1.005700284177638,1.0018992272284646,1.0283678777252072,46,4,40.14942528735632,2.5,28,0.980890444953008,1.01219764224691,0,0,97.7781499
CTSH,1.28544642986125,1.0079206016205817,1.0045666415103742,1.013776848854725,23,6,41.06896551724138,10,51,0.995983229816427,0.990794996328184,0,0,119.7904835
CTXS,1.16442667905223,1.0049046808190536,1.0013616087925323,1.0086381767734525,8,3,40.333333333333336,10.347826086956522,27,0.998912685241986,1.01280663374077,0,0,82.769997
DISCA,0.900187507493453,1.0086177494362158,1.005057309251825,0.989317723483861,33,3,36.9080459770115,6.769230769230769,38,0.988920657129081,1.00536093652149,0,0,53.70865998
DISCK,0.949563392571818,1.0109950363874285,1.007376793405074,0.9878681503768871,15,2,36.275862068965516,6.3076923076923075,31,0.995594750718703,1.01138028657164,0,0,53.73895882
DISH,1.33933567580986,0.9952901979884002,0.9914234053130186,0.9928574173444666,73,11,50.45977011494253,7.153846153846154,48,0.979537242370319,0.993546356382208,0,0,63.529999
DLTR,1.27093556133866,1.0181669292997229,1.0147077087884384,0.9990873726594763,62,7,34.298850574712645,6.2,4,1.00229727034014,1.06581085134725,0,0,147.7337691
EA,2.28362447112778,0.9973483670526242,0.9935866221102312,1.0052204429436606,42,13,49.32183908045977,11.869565217391305,67,0.970087367862388,0.982205273023253,0,0,91.599998
EBAY,1.53299016675139,1.0080596209793344,1.0044144457760729,1.013156418899373,19,3,35.735632183908045,4.4,15,1.0271506715131,1.03050640714372,0,0,80.8101952
ESRX,0.985411419371503,1.0096431591650954,1.006335042840245,1.011956763984774,31,7,38.195402298850574,5.75,52,0.97346876818479,0.99060031854838,0,0,65.959999
EXPE,1.75833352479597,0.9980193279937453,0.9944133670625093,1.0300094138088514,41,3,49.275862068965516,2.5,42,0.983301285205203,1.00161606034701,0,0,129.949997
FAST,1.18695758066018,1.0032738345842704,0.9996901373209414,1.003632955565163,75,20,43.97701149425287,7.8,44,1.00600895496003,0.995929463561964,0,0,103.9233278
FISV,1.89894430104019,1.0015337224218896,0.9981567554425007,1.0052096302607172,67,20,48.01149425287356,13.608695652173912,59,0.988875636799619,0.985818563780699,0,0,234.8984636
FOX,1.1105651498184,1.0012994678584277,0.9975834778802002,0.9816262922895872,54,10,45.2183908045977,6.923076923076923,11,1.00925623109818,1.05090912376661,0,0,30.25
FOXA,1.12519047257043,1.0077735955955007,1.0042526213336664,0.9862054037791265,11,3,43.37931034482759,6.384615384615385,7,1.01336375449974,1.05899615340551,0,0,30.68
GILD,1.06718699686461,1.0074953876963295,1.0039781601705156,1.0205400376810683,45,5,37.81609195402299,4.75,66,0.989962248456734,0.982979371313489,0,0,136.1758905
GOOG,1.67617321006162,1.002317555673067,0.9987620284885708,1.0064139007690076,26,5,45.32183908045977,13.391304347826088,69,0.984123010112099,0.980842828389604,0,0,1692.031341
GOOGL,1.68812739535375,1.0030575187207307,0.9994702686446111,1.0076221687230231,48,16,44.06896551724138,12.73913043478261,72,0.982562286118045,0.978243137272908,0,0,1723.327223
HSIC,1.51806631602863,1.0028639163595419,0.9991552597574807,0.9781709140860009,78,17,48.03448275862069,14.6,45,0.998608666869635,0.994840585954652,0,0,172.5
ILMN,1.43593290118985,1.0045630654952935,1.0009507233057333,1.0115332460851565,32,6,43.60919540229885,6.583333333333333,6,1.03567912275071,1.06482625087652,0,0,251.7420497
INCY,2.79718587321038,1.0016678036893623,0.9983856727474079,0.9730185536011134,81,12,47.35632183908046,8.75,86,0.94653569849152,0.922605281576171,0,0,151.690002
INTC,1.25736168400733,1.0083839158333723,1.0048837860712199,1.0151994107169888,21,6,39.747126436781606,11.173913043478262,25,1.00824569274853,1.01506974808244,0,0,35.169998
INTU,1.59454052773327,1.0032489417739923,0.999628803539598,1.0133446411431979,59,15,44.310344827586206,11.08695652173913,85,0.974727206379979,0.947849806619075,0,0,124.639999
ISRG,1.51219820224442,1.0011393268015023,0.9976198758554745,0.9978538857493501,46,12,48.770114942528735,12.45,18,1.00149522062735,1.02467130556568,0,0,749.049988
LBTYA,1.02897595173735,1.0132746706699813,1.0097867695398863,0.9778602843789856,69,12,37.632183908045974,8,82,0.968030344068725,0.962069845077607,0,0,70.99427085
LRCX,2.00723805215144,1.0021209093175283,0.9986729258201966,1.0006048151598423,69,13,49.160919540229884,12.25,16,1.00746987944289,1.02811244963253,0,0,124.5
MAR,1.59947149614797,1.0000864570829031,0.9964416189919727,1.032666013255605,38,1,49.13793103448276,2.25,2,1.05055798217443,1.07834202874731,0,0,87.82
MAT,0.790026077378138,1.0060410279326704,1.0023278062733558,1.013728882203694,24,4,43.367816091954026,7.05,46,0.98046111800827,0.994529151876586,0,0,25.59
MCHP,1.7166628950528,0.9920029114094322,0.9879036478386964,0.9959639186546866,30,4,49.71264367816092,10.35,54,0.985819424765448,0.988361164357491,0,0,74.75
