date,FISV,isPartial
2012-08-30,11,False
2012-08-31,22,False
2012-09-01,0,False
2012-09-02,0,False
2012-09-03,21,False
2012-09-04,0,False
2012-09-05,10,False
2012-09-06,0,False
2012-09-07,11,False
2012-09-08,0,False
2012-09-09,12,False
2012-09-10,10,False
2012-09-11,0,False
2012-09-12,10,False
2012-09-13,10,False
2012-09-14,43,False
2012-09-15,25,False
2012-09-16,12,False
2012-09-17,0,False
2012-09-18,40,False
2012-09-19,10,False
2012-09-20,0,False
2012-09-21,21,False
2012-09-22,12,False
2012-09-23,12,False
2012-09-24,100,False
2012-09-25,40,False
2012-09-26,20,False
2012-09-27,20,False
2012-09-28,21,False
2012-09-29,12,False
2012-09-30,12,False
2012-10-01,30,False
2012-10-02,0,False
2012-10-03,0,False
2012-10-04,0,False
2012-10-05,10,False
2012-10-06,24,False
2012-10-07,12,False
2012-10-08,0,False
2012-10-09,10,False
2012-10-10,0,False
2012-10-11,20,False
2012-10-12,10,False
