date,INTC,isPartial
2017-11-07,31,False
2017-11-08,28,False
2017-11-09,24,False
2017-11-10,26,False
2017-11-11,10,False
2017-11-12,5,False
2017-11-13,20,False
2017-11-14,27,False
2017-11-15,19,False
2017-11-16,18,False
2017-11-17,19,False
2017-11-18,7,False
2017-11-19,4,False
2017-11-20,20,False
2017-11-21,20,False
2017-11-22,16,False
2017-11-23,7,False
2017-11-24,12,False
2017-11-25,5,False
2017-11-26,4,False
2017-11-27,18,False
2017-11-28,17,False
2017-11-29,21,False
2017-11-30,20,False
2017-12-01,15,False
2017-12-02,6,False
2017-12-03,4,False
2017-12-04,17,False
2017-12-05,15,False
2017-12-06,18,False
2017-12-07,17,False
2017-12-08,18,False
2017-12-09,4,False
2017-12-10,3,False
2017-12-11,11,False
2017-12-12,11,False
2017-12-13,14,False
2017-12-14,14,False
2017-12-15,17,False
2017-12-16,6,False
2017-12-17,3,False
2017-12-18,20,False
2017-12-19,22,False
2017-12-20,26,False
2017-12-21,22,False
2017-12-22,21,False
2017-12-23,6,False
2017-12-24,4,False
2017-12-25,4,False
2017-12-26,13,False
2017-12-27,15,False
2017-12-28,13,False
2017-12-29,16,False
2017-12-30,7,False
2017-12-31,3,False
2018-01-01,3,False
2018-01-02,16,False
2018-01-03,71,False
2018-01-04,79,False
2018-01-05,64,False
2018-01-06,14,False
2018-01-07,11,False
2018-01-08,30,False
2018-01-09,34,False
2018-01-10,31,False
2018-01-11,33,False
2018-01-12,28,False
2018-01-13,6,False
2018-01-14,5,False
2018-01-15,9,False
2018-01-16,25,False
2018-01-17,26,False
2018-01-18,23,False
2018-01-19,20,False
2018-01-20,10,False
2018-01-21,3,False
2018-01-22,23,False
2018-01-23,29,False
2018-01-24,29,False
2018-01-25,56,False
2018-01-26,100,False
2018-01-27,26,False
2018-01-28,10,False
2018-01-29,35,False
2018-01-30,31,False
2018-01-31,26,False
2018-02-01,27,False
2018-02-02,24,False
2018-02-03,10,False
2018-02-04,7,False
2018-02-05,26,False
2018-02-06,35,False
2018-02-07,23,False
2018-02-08,25,False
2018-02-09,24,False
2018-02-10,8,False
2018-02-11,4,False
2018-02-12,24,False
2018-02-13,23,False
