date,date,value
2016-12-09,2016-12-09,60.0
2016-12-10,2016-12-10,47.0
2016-12-11,2016-12-11,42.0
2016-12-12,2016-12-12,66.0
2016-12-13,2016-12-13,60.0
2016-12-14,2016-12-14,74.0
2016-12-15,2016-12-15,60.0
2016-12-16,2016-12-16,56.0
2016-12-17,2016-12-17,34.0
2016-12-18,2016-12-18,45.0
2016-12-19,2016-12-19,68.0
2016-12-20,2016-12-20,69.0
2016-12-21,2016-12-21,79.0
2016-12-22,2016-12-22,59.0
2016-12-23,2016-12-23,34.0
2016-12-24,2016-12-24,31.0
2016-12-25,2016-12-25,20.0
2016-12-26,2016-12-26,23.0
2016-12-27,2016-12-27,58.0
2016-12-28,2016-12-28,64.0
2016-12-29,2016-12-29,51.0
2016-12-30,2016-12-30,60.0
2016-12-31,2016-12-31,22.0
2017-01-01,2017-01-01,30.0
2017-01-02,2017-01-02,47.0
2017-01-03,2017-01-03,59.0
2017-01-04,2017-01-04,67.0
2017-01-05,2017-01-05,61.0
2017-01-06,2017-01-06,50.0
2017-01-07,2017-01-07,42.0
2017-01-08,2017-01-08,43.0
2017-01-09,2017-01-09,72.0
2017-01-10,2017-01-10,79.0
2017-01-11,2017-01-11,67.0
2017-01-12,2017-01-12,74.0
2017-01-13,2017-01-13,60.0
2017-01-14,2017-01-14,57.0
2017-01-15,2017-01-15,50.0
2017-01-16,2017-01-16,66.0
2017-01-17,2017-01-17,87.0
2017-01-18,2017-01-18,74.0
2017-01-19,2017-01-19,63.0
2017-01-20,2017-01-20,73.0
2017-01-21,2017-01-21,47.0
2017-01-22,2017-01-22,57.0
2017-01-23,2017-01-23,65.0
2017-01-24,2017-01-24,74.0
2017-01-25,2017-01-25,73.0
2017-01-26,2017-01-26,62.0
2017-01-27,2017-01-27,68.0
2017-01-28,2017-01-28,44.0
2017-01-29,2017-01-29,54.0
2017-01-30,2017-01-30,76.0
2017-01-31,2017-01-31,82.0
2017-02-01,2017-02-01,69.0
2017-02-02,2017-02-02,64.0
2017-02-03,2017-02-03,69.0
2017-02-04,2017-02-04,57.0
2017-02-05,2017-02-05,38.0
2017-02-06,2017-02-06,79.0
2017-02-07,2017-02-07,68.0
2017-02-08,2017-02-08,59.0
2017-02-09,2017-02-09,68.0
2017-02-10,2017-02-10,68.0
2017-02-11,2017-02-11,51.0
2017-02-12,2017-02-12,38.0
2017-02-13,2017-02-13,66.0
2017-02-14,2017-02-14,61.0
2017-02-15,2017-02-15,72.0
2017-02-16,2017-02-16,70.0
2017-02-17,2017-02-17,77.0
2017-02-18,2017-02-18,53.0
2017-02-19,2017-02-19,42.0
2017-02-20,2017-02-20,69.0
2017-02-21,2017-02-21,69.0
2017-02-22,2017-02-22,73.0
2017-02-23,2017-02-23,62.0
2017-02-24,2017-02-24,63.0
2017-02-25,2017-02-25,45.0
2017-02-26,2017-02-26,54.0
2017-02-27,2017-02-27,76.0
2017-02-28,2017-02-28,77.0
2017-03-01,2017-03-01,86.0
2017-03-02,2017-03-02,75.0
2017-03-03,2017-03-03,76.0
2017-03-04,2017-03-04,61.0
2017-03-05,2017-03-05,55.0
2017-03-06,2017-03-06,65.0
2017-03-07,2017-03-07,69.0
2017-03-08,2017-03-08,77.0
2017-03-09,2017-03-09,73.0
2017-03-10,2017-03-10,65.0
2017-03-11,2017-03-11,53.0
2017-03-12,2017-03-12,49.0
2017-03-13,2017-03-13,68.0
2017-03-14,2017-03-14,82.0
2017-03-15,2017-03-15,75.0
2017-03-16,2017-03-16,60.0
2017-03-17,2017-03-17,58.0
2017-03-18,2017-03-18,54.0
2017-03-19,2017-03-19,50.0
2017-03-20,2017-03-20,69.0
2017-03-21,2017-03-21,76.0
2017-03-22,2017-03-22,81.0
2017-03-23,2017-03-23,83.0
2017-03-24,2017-03-24,82.0
2017-03-25,2017-03-25,59.0
2017-03-26,2017-03-26,47.0
2017-03-27,2017-03-27,86.0
2017-03-28,2017-03-28,82.0
2017-03-29,2017-03-29,84.0
2017-03-30,2017-03-30,73.0
2017-03-31,2017-03-31,57.0
2017-04-01,2017-04-01,47.0
2017-04-02,2017-04-02,50.0
2017-04-03,2017-04-03,83.0
2017-04-04,2017-04-04,73.0
2017-04-05,2017-04-05,67.0
2017-04-06,2017-04-06,76.0
2017-04-07,2017-04-07,52.0
2017-04-08,2017-04-08,42.0
2017-04-09,2017-04-09,52.0
2017-04-10,2017-04-10,66.0
2017-04-11,2017-04-11,65.0
2017-04-12,2017-04-12,61.0
2017-04-13,2017-04-13,52.0
2017-04-14,2017-04-14,43.0
2017-04-15,2017-04-15,51.0
2017-04-16,2017-04-16,42.0
2017-04-17,2017-04-17,49.0
2017-04-18,2017-04-18,55.0
2017-04-19,2017-04-19,62.0
2017-04-20,2017-04-20,66.0
2017-04-21,2017-04-21,66.0
2017-04-22,2017-04-22,46.0
2017-04-23,2017-04-23,42.0
2017-04-24,2017-04-24,61.0
2017-04-25,2017-04-25,60.0
2017-04-26,2017-04-26,61.0
2017-04-27,2017-04-27,66.0
2017-04-28,2017-04-28,60.0
2017-04-29,2017-04-29,35.0
2017-04-30,2017-04-30,43.0
2017-05-01,2017-05-01,69.0
2017-05-02,2017-05-02,74.0
2017-05-03,2017-05-03,80.0
2017-05-04,2017-05-04,59.0
2017-05-05,2017-05-05,54.0
2017-05-06,2017-05-06,51.0
2017-05-06,2017-05-06,48.0908746686861
2017-05-07,2017-05-07,44.25369178341536
2017-05-08,2017-05-08,75.49503975766754
