date,MCHP,isPartial
2014-12-03,70,False
2014-12-04,28,False
2014-12-05,30,False
2014-12-06,17,False
2014-12-07,16,False
2014-12-08,42,False
2014-12-09,42,False
2014-12-10,28,False
2014-12-11,14,False
2014-12-12,30,False
2014-12-13,0,False
2014-12-14,34,False
2014-12-15,28,False
2014-12-16,0,False
2014-12-17,0,False
2014-12-18,0,False
2014-12-19,15,False
2014-12-20,17,False
2014-12-21,17,False
2014-12-22,15,False
2014-12-23,0,False
2014-12-24,53,False
2014-12-25,0,False
2014-12-26,0,False
2014-12-27,0,False
2014-12-28,17,False
2014-12-29,0,False
2014-12-30,0,False
2014-12-31,34,False
2015-01-01,18,False
2015-01-02,46,False
2015-01-03,0,False
2015-01-04,0,False
2015-01-05,0,False
2015-01-06,28,False
2015-01-07,14,False
2015-01-08,27,False
2015-01-09,0,False
2015-01-10,0,False
2015-01-11,16,False
2015-01-12,14,False
2015-01-13,54,False
2015-01-14,41,False
2015-01-15,14,False
2015-01-16,42,False
2015-01-17,0,False
2015-01-18,0,False
2015-01-19,0,False
2015-01-20,13,False
2015-01-21,27,False
2015-01-22,0,False
2015-01-23,0,False
2015-01-24,16,False
2015-01-25,0,False
2015-01-26,13,False
2015-01-27,13,False
2015-01-28,54,False
2015-01-29,81,False
2015-01-30,69,False
2015-01-31,0,False
2015-02-01,0,False
2015-02-02,40,False
2015-02-03,0,False
2015-02-04,27,False
2015-02-05,54,False
2015-02-06,69,False
2015-02-07,16,False
2015-02-08,16,False
2015-02-09,53,False
2015-02-10,13,False
2015-02-11,93,False
2015-02-12,14,False
2015-02-13,56,False
2015-02-14,64,False
2015-02-15,16,False
2015-02-16,55,False
2015-02-17,27,False
2015-02-18,27,False
2015-02-19,41,False
2015-02-20,42,False
2015-02-21,0,False
2015-02-22,0,False
2015-02-23,52,False
2015-02-24,39,False
2015-02-25,13,False
2015-02-26,40,False
2015-02-27,55,False
2015-02-28,15,False
2015-03-01,0,False
2015-03-02,65,False
2015-03-03,39,False
2015-03-04,66,False
2015-03-05,13,False
2015-03-06,28,False
2015-03-07,16,False
2015-03-08,0,False
2015-03-09,26,False
2015-03-10,39,False
2015-03-11,67,False
2015-03-12,0,False
2015-03-13,27,False
2015-03-14,0,False
2015-03-15,0,False
2015-03-16,13,False
2015-03-17,53,False
2015-03-18,13,False
2015-03-19,40,False
2015-03-20,27,False
2015-03-21,31,False
2015-03-22,15,False
2015-03-23,26,False
2015-03-24,0,False
2015-03-25,0,False
2015-03-26,15,False
2015-03-27,28,False
2015-03-28,67,False
2015-03-29,0,False
2015-03-30,0,False
2015-03-31,27,False
2015-04-01,27,False
2015-04-02,14,False
2015-04-03,15,False
2015-04-04,33,False
2015-04-05,0,False
2015-04-06,57,False
2015-04-07,0,False
2015-04-08,53,False
2015-04-09,13,False
2015-04-10,28,False
