date,CSCO,isPartial
2011-07-28,23,False
2011-07-29,14,False
2011-07-30,10,False
2011-07-31,6,False
2011-08-01,17,False
2011-08-02,25,False
2011-08-03,17,False
2011-08-04,26,False
2011-08-05,28,False
2011-08-06,10,False
2011-08-07,7,False
2011-08-08,36,False
2011-08-09,36,False
2011-08-10,63,False
2011-08-11,66,False
2011-08-12,39,False
2011-08-13,10,False
2011-08-14,7,False
2011-08-15,22,False
2011-08-16,27,False
2011-08-17,20,False
2011-08-18,27,False
2011-08-19,19,False
2011-08-20,5,False
2011-08-21,5,False
2011-08-22,20,False
2011-08-23,18,False
2011-08-24,15,False
2011-08-25,12,False
2011-08-26,11,False
2011-08-27,9,False
2011-08-28,6,False
2011-08-29,15,False
2011-08-30,13,False
2011-08-31,14,False
2011-09-01,15,False
2011-09-02,12,False
2011-09-03,5,False
2011-09-04,3,False
2011-09-05,6,False
2011-09-06,9,False
2011-09-07,17,False
2011-09-08,18,False
2011-09-09,15,False
2011-09-10,9,False
2011-09-11,3,False
2011-09-12,15,False
2011-09-13,20,False
2011-09-14,21,False
2011-09-15,22,False
2011-09-16,16,False
2011-09-17,10,False
2011-09-18,6,False
