date,CTRP,isPartial
2012-03-11,0,False
2012-03-12,0,False
2012-03-13,0,False
2012-03-14,45,False
2012-03-15,46,False
2012-03-16,0,False
2012-03-17,28,False
2012-03-18,0,False
2012-03-19,23,False
2012-03-20,23,False
2012-03-21,0,False
2012-03-22,23,False
2012-03-23,0,False
2012-03-24,0,False
2012-03-25,0,False
2012-03-26,23,False
2012-03-27,0,False
2012-03-28,23,False
2012-03-29,0,False
2012-03-30,25,False
2012-03-31,28,False
2012-04-01,0,False
2012-04-02,47,False
2012-04-03,0,False
2012-04-04,0,False
2012-04-05,49,False
2012-04-06,0,False
2012-04-07,0,False
2012-04-08,0,False
2012-04-09,0,False
2012-04-10,24,False
2012-04-11,0,False
2012-04-12,46,False
2012-04-13,24,False
2012-04-14,0,False
2012-04-15,0,False
2012-04-16,0,False
2012-04-17,0,False
2012-04-18,23,False
2012-04-19,68,False
2012-04-20,0,False
2012-04-21,0,False
2012-04-22,0,False
2012-04-23,0,False
2012-04-24,0,False
2012-04-25,45,False
2012-04-26,46,False
2012-04-27,0,False
2012-04-28,0,False
2012-04-29,0,False
2012-04-30,24,False
2012-05-01,50,False
2012-05-02,23,False
2012-05-03,0,False
2012-05-04,0,False
2012-05-05,0,False
2012-05-06,0,False
2012-05-07,22,False
2012-05-08,0,False
2012-05-09,45,False
2012-05-10,23,False
2012-05-11,0,False
2012-05-12,0,False
2012-05-13,0,False
2012-05-14,0,False
2012-05-15,44,False
2012-05-16,45,False
2012-05-17,46,False
2012-05-18,24,False
2012-05-19,0,False
2012-05-20,0,False
2012-05-21,67,False
2012-05-22,22,False
2012-05-23,45,False
2012-05-24,46,False
2012-05-25,72,False
2012-05-26,0,False
2012-05-27,0,False
2012-05-28,0,False
2012-05-29,22,False
2012-05-30,0,False
2012-05-31,0,False
2012-06-01,24,False
2012-06-02,0,False
2012-06-03,27,False
2012-06-04,44,False
