date,CSX,isPartial
2014-09-19,47,False
2014-09-20,42,False
2014-09-21,35,False
2014-09-22,53,False
2014-09-23,61,False
2014-09-24,52,False
2014-09-25,50,False
2014-09-26,60,False
2014-09-27,43,False
2014-09-28,32,False
2014-09-29,66,False
2014-09-30,47,False
2014-10-01,41,False
2014-10-02,59,False
2014-10-03,57,False
2014-10-04,31,False
2014-10-05,42,False
2014-10-06,58,False
2014-10-07,62,False
2014-10-08,61,False
2014-10-09,51,False
2014-10-10,46,False
2014-10-11,36,False
2014-10-12,45,False
2014-10-13,95,False
2014-10-14,91,False
2014-10-15,83,False
2014-10-16,65,False
2014-10-17,60,False
2014-10-18,51,False
2014-10-19,44,False
2014-10-20,64,False
2014-10-21,68,False
2014-10-22,55,False
2014-10-23,66,False
2014-10-24,46,False
2014-10-25,38,False
2014-10-26,31,False
2014-10-27,63,False
2014-10-28,52,False
2014-10-29,60,False
2014-10-30,50,False
2014-10-31,55,False
2014-11-01,39,False
2014-11-02,52,False
2014-11-03,55,False
2014-11-04,61,False
2014-11-05,52,False
2014-11-06,54,False
2014-11-07,54,False
2014-11-08,45,False
2014-11-09,43,False
2014-11-10,60,False
2014-11-11,56,False
2014-11-12,63,False
2014-11-13,67,False
2014-11-14,48,False
2014-11-15,42,False
2014-11-16,38,False
2014-11-17,51,False
2014-11-18,40,False
2014-11-19,53,False
2014-11-20,46,False
2014-11-21,67,False
2014-11-22,36,False
2014-11-23,29,False
2014-11-24,47,False
2014-11-25,40,False
2014-11-26,39,False
2014-11-27,35,False
2014-11-28,39,False
2014-11-29,27,False
2014-11-30,36,False
2014-12-01,55,False
