date,BMRN,isPartial
2014-03-20,19,False
2014-03-21,20,False
2014-03-22,0,False
2014-03-23,11,False
2014-03-24,19,False
2014-03-25,9,False
2014-03-26,0,False
2014-03-27,10,False
2014-03-28,10,False
2014-03-29,11,False
2014-03-30,0,False
2014-03-31,19,False
2014-04-01,19,False
2014-04-02,0,False
2014-04-03,0,False
2014-04-04,39,False
2014-04-05,22,False
2014-04-06,0,False
2014-04-07,9,False
2014-04-08,0,False
2014-04-09,10,False
2014-04-10,19,False
2014-04-11,10,False
2014-04-12,0,False
2014-04-13,0,False
2014-04-14,0,False
2014-04-15,19,False
2014-04-16,10,False
2014-04-17,10,False
2014-04-18,11,False
2014-04-19,0,False
2014-04-20,0,False
2014-04-21,10,False
2014-04-22,0,False
2014-04-23,28,False
2014-04-24,0,False
2014-04-25,10,False
2014-04-26,11,False
2014-04-27,0,False
2014-04-28,19,False
2014-04-29,0,False
2014-04-30,19,False
2014-05-01,31,False
2014-05-02,20,False
2014-05-03,23,False
2014-05-04,0,False
2014-05-05,0,False
2014-05-06,9,False
2014-05-07,9,False
2014-05-08,10,False
2014-05-09,0,False
2014-05-10,0,False
2014-05-11,0,False
2014-05-12,9,False
2014-05-13,9,False
2014-05-14,48,False
2014-05-15,19,False
2014-05-16,10,False
2014-05-17,0,False
2014-05-18,0,False
2014-05-19,0,False
2014-05-20,10,False
2014-05-21,21,False
2014-05-22,10,False
2014-05-23,11,False
2014-05-24,0,False
2014-05-25,0,False
2014-05-26,0,False
2014-05-27,10,False
2014-05-28,31,False
2014-05-29,0,False
2014-05-30,22,False
2014-05-31,0,False
2014-06-01,0,False
2014-06-02,10,False
2014-06-03,41,False
2014-06-04,21,False
2014-06-05,32,False
2014-06-06,11,False
2014-06-07,0,False
2014-06-08,0,False
2014-06-09,43,False
2014-06-10,21,False
2014-06-11,21,False
2014-06-12,11,False
2014-06-13,11,False
2014-06-14,0,False
2014-06-15,0,False
2014-06-16,0,False
2014-06-17,0,False
2014-06-18,11,False
2014-06-19,22,False
2014-06-20,11,False
2014-06-21,0,False
2014-06-22,0,False
2014-06-23,11,False
2014-06-24,11,False
2014-06-25,0,False
2014-06-26,11,False
2014-06-27,22,False
2014-06-28,13,False
2014-06-29,0,False
2014-06-30,0,False
2014-07-01,0,False
2014-07-02,0,False
2014-07-03,11,False
2014-07-04,0,False
2014-07-05,13,False
2014-07-06,0,False
2014-07-07,11,False
2014-07-08,0,False
2014-07-09,21,False
2014-07-10,0,False
2014-07-11,22,False
2014-07-12,0,False
2014-07-13,13,False
2014-07-14,0,False
2014-07-15,21,False
2014-07-16,0,False
2014-07-17,22,False
2014-07-18,0,False
2014-07-19,13,False
2014-07-20,0,False
2014-07-21,32,False
2014-07-22,21,False
2014-07-23,0,False
2014-07-24,32,False
