date,CTSH,isPartial
2011-08-12,47,False
2011-08-13,22,False
2011-08-14,17,False
2011-08-15,53,False
2011-08-16,41,False
2011-08-17,38,False
2011-08-18,88,False
2011-08-19,73,False
2011-08-20,30,False
2011-08-21,25,False
2011-08-22,40,False
2011-08-23,52,False
2011-08-24,40,False
2011-08-25,46,False
2011-08-26,35,False
2011-08-27,25,False
2011-08-28,12,False
2011-08-29,33,False
2011-08-30,39,False
2011-08-31,33,False
2011-09-01,53,False
2011-09-02,20,False
2011-09-03,8,False
2011-09-04,8,False
2011-09-05,16,False
2011-09-06,32,False
2011-09-07,51,False
2011-09-08,35,False
2011-09-09,43,False
2011-09-10,20,False
2011-09-11,23,False
2011-09-12,37,False
2011-09-13,34,False
2011-09-14,56,False
2011-09-15,60,False
2011-09-16,30,False
2011-09-17,23,False
2011-09-18,11,False
2011-09-19,28,False
2011-09-20,37,False
2011-09-21,22,False
2011-09-22,41,False
2011-09-23,43,False
2011-09-24,8,False
2011-09-25,23,False
2011-09-26,34,False
2011-09-27,46,False
2011-09-28,28,False
2011-09-29,38,False
2011-09-30,46,False
2011-10-01,20,False
2011-10-02,23,False
2011-10-03,53,False
2011-10-04,31,False
2011-10-05,43,False
2011-10-06,49,False
2011-10-07,29,False
2011-10-08,0,False
2011-10-09,7,False
2011-10-10,43,False
2011-10-11,38,False
2011-10-12,57,False
2011-10-13,43,False
2011-10-14,51,False
2011-10-15,23,False
2011-10-16,7,False
2011-10-17,37,False
2011-10-18,45,False
2011-10-19,30,False
2011-10-20,19,False
2011-10-21,39,False
2011-10-22,15,False
2011-10-23,7,False
2011-10-24,24,False
2011-10-25,39,False
2011-10-26,21,False
2011-10-27,40,False
2011-10-28,52,False
2011-10-29,27,False
2011-10-30,15,False
2011-10-31,41,False
2011-11-01,35,False
2011-11-02,67,False
2011-11-03,36,False
2011-11-04,41,False
2011-11-05,22,False
2011-11-06,11,False
2011-11-07,24,False
2011-11-08,21,False
2011-11-09,48,False
2011-11-10,30,False
2011-11-11,35,False
2011-11-12,26,False
2011-11-13,11,False
2011-11-14,27,False
2011-11-15,33,False
2011-11-16,27,False
2011-11-17,27,False
2011-11-18,32,False
2011-11-19,29,False
2011-11-20,14,False
2011-11-21,27,False
2011-11-22,27,False
2011-11-23,45,False
2011-11-24,6,False
2011-11-25,13,False
2011-11-26,7,False
2011-11-27,7,False
2011-11-28,29,False
2011-11-29,41,False
2011-11-30,44,False
2011-12-01,15,False
2011-12-02,47,False
2011-12-03,14,False
2011-12-04,7,False
2011-12-05,41,False
2011-12-06,32,False
2011-12-07,41,False
2011-12-08,24,False
2011-12-09,47,False
2011-12-10,7,False
2011-12-11,21,False
2011-12-12,23,False
2011-12-13,35,False
2011-12-14,53,False
2011-12-15,39,False
2011-12-16,38,False
2011-12-17,15,False
2011-12-18,11,False
2011-12-19,36,False
2011-12-20,24,False
2011-12-21,25,False
2011-12-22,32,False
2011-12-23,38,False
2011-12-24,8,False
2011-12-25,9,False
2011-12-26,14,False
2011-12-27,32,False
2011-12-28,45,False
2011-12-29,35,False
2011-12-30,24,False
2011-12-31,16,False
2012-01-01,8,False
2012-01-02,13,False
2012-01-03,32,False
2012-01-04,17,False
2012-01-05,26,False
2012-01-06,40,False
2012-01-07,14,False
2012-01-08,10,False
2012-01-09,23,False
2012-01-10,39,False
2012-01-11,39,False
2012-01-12,34,False
2012-01-13,41,False
2012-01-14,20,False
2012-01-15,20,False
2012-01-16,14,False
2012-01-17,33,False
2012-01-18,47,False
2012-01-19,25,False
2012-01-20,32,False
2012-01-21,13,False
2012-01-22,20,False
2012-01-23,25,False
2012-01-24,36,False
2012-01-25,11,False
2012-01-26,20,False
