date,ISRG,isPartial
2011-04-13,46,False
2011-04-14,0,False
2011-04-15,30,False
2011-04-16,24,False
2011-04-17,12,False
2011-04-18,47,False
2011-04-19,57,False
2011-04-20,39,False
2011-04-21,31,False
2011-04-22,0,False
2011-04-23,13,False
2011-04-24,0,False
2011-04-25,21,False
2011-04-26,37,False
2011-04-27,18,False
2011-04-28,9,False
2011-04-29,10,False
2011-04-30,0,False
2011-05-01,0,False
2011-05-02,18,False
2011-05-03,36,False
2011-05-04,0,False
2011-05-05,19,False
2011-05-06,20,False
2011-05-07,12,False
2011-05-08,0,False
2011-05-09,27,False
2011-05-10,18,False
2011-05-11,9,False
2011-05-12,18,False
2011-05-13,10,False
2011-05-14,23,False
2011-05-15,11,False
2011-05-16,0,False
2011-05-17,0,False
2011-05-18,9,False
2011-05-19,37,False
2011-05-20,10,False
2011-05-21,24,False
2011-05-22,0,False
2011-05-23,9,False
2011-05-24,9,False
2011-05-25,9,False
2011-05-26,37,False
2011-05-27,29,False
2011-05-28,12,False
2011-05-29,0,False
2011-05-30,19,False
2011-05-31,0,False
2011-06-01,18,False
2011-06-02,10,False
2011-06-03,20,False
2011-06-04,0,False
2011-06-05,12,False
2011-06-06,0,False
2011-06-07,0,False
2011-06-08,9,False
2011-06-09,9,False
2011-06-10,29,False
2011-06-11,24,False
2011-06-12,12,False
2011-06-13,28,False
2011-06-14,9,False
2011-06-15,18,False
2011-06-16,9,False
2011-06-17,29,False
2011-06-18,0,False
2011-06-19,0,False
2011-06-20,27,False
2011-06-21,27,False
2011-06-22,37,False
2011-06-23,19,False
2011-06-24,10,False
2011-06-25,0,False
2011-06-26,0,False
2011-06-27,18,False
2011-06-28,18,False
2011-06-29,18,False
2011-06-30,19,False
2011-07-01,20,False
2011-07-02,12,False
2011-07-03,0,False
2011-07-04,19,False
2011-07-05,9,False
2011-07-06,19,False
2011-07-07,19,False
2011-07-08,29,False
2011-07-09,0,False
2011-07-10,0,False
2011-07-11,0,False
2011-07-12,18,False
2011-07-13,9,False
2011-07-14,29,False
2011-07-15,50,False
2011-07-16,0,False
2011-07-17,0,False
2011-07-18,28,False
2011-07-19,64,False
2011-07-20,93,False
2011-07-21,28,False
2011-07-22,20,False
2011-07-23,34,False
2011-07-24,12,False
2011-07-25,18,False
2011-07-26,0,False
2011-07-27,19,False
2011-07-28,38,False
2011-07-29,20,False
2011-07-30,12,False
2011-07-31,0,False
2011-08-01,46,False
2011-08-02,37,False
2011-08-03,28,False
2011-08-04,19,False
2011-08-05,77,False
2011-08-06,0,False
2011-08-07,0,False
2011-08-08,9,False
2011-08-09,53,False
2011-08-10,27,False
2011-08-11,18,False
2011-08-12,10,False
2011-08-13,12,False
2011-08-14,0,False
2011-08-15,38,False
2011-08-16,18,False
2011-08-17,9,False
2011-08-18,9,False
2011-08-19,0,False
2011-08-20,11,False
2011-08-21,11,False
2011-08-22,18,False
2011-08-23,9,False
2011-08-24,9,False
2011-08-25,18,False
2011-08-26,0,False
2011-08-27,11,False
2011-08-28,11,False
2011-08-29,0,False
2011-08-30,17,False
2011-08-31,18,False
2011-09-01,27,False
2011-09-02,0,False
2011-09-03,0,False
2011-09-04,11,False
2011-09-05,0,False
2011-09-06,17,False
2011-09-07,9,False
2011-09-08,9,False
2011-09-09,9,False
2011-09-10,0,False
2011-09-11,0,False
2011-09-12,25,False
2011-09-13,25,False
2011-09-14,0,False
2011-09-15,17,False
2011-09-16,9,False
2011-09-17,0,False
2011-09-18,10,False
