date,HSIC,isPartial
2015-03-26,0,False
2015-03-27,35,False
2015-03-28,42,False
2015-03-29,0,False
2015-03-30,0,False
2015-03-31,0,False
2015-04-01,34,False
2015-04-02,0,False
2015-04-03,19,False
2015-04-04,0,False
2015-04-05,0,False
2015-04-06,0,False
2015-04-07,17,False
2015-04-08,17,False
2015-04-09,17,False
2015-04-10,18,False
2015-04-11,20,False
2015-04-12,0,False
2015-04-13,17,False
2015-04-14,16,False
2015-04-15,17,False
2015-04-16,0,False
2015-04-17,35,False
2015-04-18,0,False
2015-04-19,0,False
2015-04-20,0,False
2015-04-21,17,False
2015-04-22,0,False
2015-04-23,34,False
2015-04-24,18,False
2015-04-25,20,False
2015-04-26,20,False
2015-04-27,33,False
2015-04-28,32,False
2015-04-29,50,False
2015-04-30,17,False
2015-05-01,38,False
2015-05-02,0,False
2015-05-03,0,False
2015-05-04,0,False
2015-05-05,50,False
2015-05-06,17,False
2015-05-07,0,False
2015-05-08,35,False
2015-05-09,0,False
2015-05-10,20,False
2015-05-11,17,False
2015-05-12,0,False
2015-05-13,34,False
2015-05-14,17,False
2015-05-15,18,False
2015-05-16,0,False
2015-05-17,0,False
2015-05-18,33,False
2015-05-19,33,False
2015-05-20,16,False
2015-05-21,0,False
2015-05-22,35,False
2015-05-23,20,False
2015-05-24,0,False
2015-05-25,0,False
2015-05-26,17,False
2015-05-27,49,False
2015-05-28,34,False
2015-05-29,0,False
2015-05-30,20,False
2015-05-31,0,False
2015-06-01,33,False
2015-06-02,17,False
2015-06-03,16,False
2015-06-04,34,False
2015-06-05,17,False
2015-06-06,0,False
2015-06-07,0,False
2015-06-08,16,False
2015-06-09,0,False
2015-06-10,17,False
2015-06-11,51,False
2015-06-12,0,False
2015-06-13,0,False
2015-06-14,0,False
2015-06-15,0,False
2015-06-16,33,False
2015-06-17,0,False
2015-06-18,34,False
2015-06-19,0,False
2015-06-20,0,False
2015-06-21,0,False
2015-06-22,0,False
2015-06-23,100,False
2015-06-24,0,False
2015-06-25,0,False
2015-06-26,35,False
2015-06-27,0,False
2015-06-28,0,False
2015-06-29,17,False
2015-06-30,17,False
2015-07-01,17,False
2015-07-02,34,False
2015-07-03,0,False
2015-07-04,0,False
2015-07-05,0,False
2015-07-06,50,False
2015-07-07,0,False
2015-07-08,50,False
2015-07-09,17,False
2015-07-10,35,False
2015-07-11,20,False
2015-07-12,60,False
2015-07-13,17,False
2015-07-14,0,False
2015-07-15,0,False
2015-07-16,35,False
2015-07-17,18,False
2015-07-18,0,False
2015-07-19,22,False
2015-07-20,17,False
2015-07-21,17,False
2015-07-22,34,False
2015-07-23,84,False
2015-07-24,0,False
2015-07-25,20,False
2015-07-26,40,False
2015-07-27,49,False
2015-07-28,16,False
2015-07-29,0,False
2015-07-30,33,False
2015-07-31,0,False
2015-08-01,0,False
2015-08-02,20,False
2015-08-03,0,False
2015-08-04,0,False
2015-08-05,17,False
2015-08-06,34,False
2015-08-07,35,False
2015-08-08,0,False
2015-08-09,20,False
2015-08-10,50,False
2015-08-11,0,False
2015-08-12,17,False
2015-08-13,51,False
2015-08-14,17,False
2015-08-15,0,False
2015-08-16,20,False
2015-08-17,33,False
2015-08-18,50,False
