date,INTU,isPartial
2011-01-22,13,False
2011-01-23,27,False
2011-01-24,22,False
2011-01-25,65,False
2011-01-26,33,False
2011-01-27,0,False
2011-01-28,23,False
2011-01-29,13,False
2011-01-30,13,False
2011-01-31,31,False
2011-02-01,10,False
2011-02-02,0,False
2011-02-03,43,False
2011-02-04,45,False
2011-02-05,13,False
2011-02-06,13,False
2011-02-07,0,False
2011-02-08,32,False
2011-02-09,32,False
2011-02-10,54,False
2011-02-11,34,False
2011-02-12,0,False
2011-02-13,0,False
2011-02-14,21,False
2011-02-15,21,False
2011-02-16,43,False
2011-02-17,32,False
2011-02-18,68,False
2011-02-19,39,False
2011-02-20,0,False
2011-02-21,21,False
2011-02-22,21,False
2011-02-23,85,False
2011-02-24,11,False
2011-02-25,34,False
2011-02-26,39,False
2011-02-27,0,False
2011-02-28,0,False
2011-03-01,21,False
2011-03-02,32,False
2011-03-03,44,False
2011-03-04,11,False
2011-03-05,54,False
2011-03-06,13,False
2011-03-07,11,False
2011-03-08,22,False
2011-03-09,21,False
2011-03-10,21,False
2011-03-11,32,False
2011-03-12,13,False
2011-03-13,13,False
2011-03-14,0,False
2011-03-15,32,False
2011-03-16,10,False
2011-03-17,21,False
2011-03-18,11,False
2011-03-19,40,False
2011-03-20,0,False
2011-03-21,32,False
2011-03-22,10,False
2011-03-23,32,False
2011-03-24,32,False
2011-03-25,0,False
2011-03-26,13,False
2011-03-27,0,False
2011-03-28,0,False
2011-03-29,10,False
2011-03-30,10,False
2011-03-31,11,False
2011-04-01,22,False
2011-04-02,14,False
2011-04-03,13,False
2011-04-04,31,False
2011-04-05,21,False
2011-04-06,11,False
2011-04-07,11,False
2011-04-08,22,False
2011-04-09,27,False
2011-04-10,13,False
2011-04-11,21,False
2011-04-12,42,False
2011-04-13,11,False
2011-04-14,21,False
2011-04-15,23,False
2011-04-16,0,False
2011-04-17,27,False
2011-04-18,11,False
2011-04-19,32,False
2011-04-20,11,False
2011-04-21,23,False
2011-04-22,26,False
2011-04-23,43,False
2011-04-24,15,False
2011-04-25,35,False
2011-04-26,32,False
2011-04-27,42,False
2011-04-28,0,False
2011-04-29,22,False
2011-04-30,14,False
2011-05-01,0,False
2011-05-02,11,False
2011-05-03,42,False
2011-05-04,21,False
2011-05-05,22,False
2011-05-06,56,False
2011-05-07,14,False
2011-05-08,27,False
2011-05-09,73,False
2011-05-10,21,False
2011-05-11,10,False
